epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90019,1.88801,2.98254,1.73238,0.00333,1,0.995,0.2009,2.38529,3.79595,2.80122,0,0,0
2,3.68665,1.67697,3.55461,1.83984,0.00333,1,0.995,0.30071,2.5689,3.58009,2.84897,1.9604e-05,1.9604e-05,1.9604e-05
3,5.60014,1.64648,3.6126,2.0258,0.00333,1,0.995,0.29953,2.62015,3.35661,2.8356,3.8416e-05,3.8416e-05,3.8416e-05
4,7.29334,1.82251,3.09299,2.06205,0.00333,1,0.995,0.20469,2.67857,3.61307,2.82626,5.6436e-05,5.6436e-05,5.6436e-05
5,9.00046,1.766,3.20973,1.77571,0.00333,1,0.995,0.20542,2.54315,4.42705,2.41381,7.3664e-05,7.3664e-05,7.3664e-05
6,10.6473,1.66542,2.7075,1.55661,0.00333,1,0.995,0.199,2.50673,4.55374,2.32724,9.01e-05,9.01e-05,9.01e-05
7,12.3575,1.43632,2.96808,1.52991,0.00333,1,0.995,0.37312,2.28282,3.78666,2.07739,0.000105744,0.000105744,0.000105744
8,14.1183,1.28318,2.50882,1.2181,0.00333,1,0.4975,0.21558,2.04884,3.47896,1.92403,0.000120596,0.000120596,0.000120596
9,16.0526,1.26406,3.25119,1.59848,0.00333,1,0.995,0.27362,2.06096,3.24697,1.94296,0.000134656,0.000134656,0.000134656
10,17.7712,0.91198,2.12244,1.15244,0.00333,1,0.995,0.398,1.94652,3.4618,1.92036,0.000147924,0.000147924,0.000147924
11,19.4588,1.45078,2.77489,1.34272,0.00333,1,0.995,0.44775,1.53982,3.22177,1.76234,0.0001604,0.0001604,0.0001604
12,21.3216,1.31055,2.51904,1.30739,0.00333,1,0.995,0.44775,1.21943,3.56908,1.59237,0.000172084,0.000172084,0.000172084
